id,name,image,price,time,months,createAt,updateAt,rarity
1,Bitterling,https://nookipedia.com/w/images/4/4d/Bitterling_NH_Icon.png,900,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:58.516,2025-05-09 17:59:04.506,Common
2,Pale Chub,https://nookipedia.com/w/images/e/e2/Pale_Chub_NH_Icon.png,200,"[9,10,11,12,13,14,15,16]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:58.986,2025-05-09 17:59:05.132,Common
3,Crucian Carp,https://nookipedia.com/w/images/f/f2/Crucian_Carp_NH_Icon.png,160,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:59.133,2025-05-09 17:59:05.237,Common
4,Dace,https://nookipedia.com/w/images/d/db/Dace_NH_Icon.png,240,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:59.239,2025-05-09 17:59:05.344,Common
5,Carp,https://nookipedia.com/w/images/5/5d/Carp_NH_Icon.png,300,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:59.345,2025-05-09 17:59:05.476,VeryCommon
6,Koi,https://nookipedia.com/w/images/2/2d/Koi_NH_Icon.png,4000,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:59.447,2025-05-09 17:59:05.58,Rare
7,Goldfish,https://nookipedia.com/w/images/7/71/Goldfish_NH_Icon.png,1300,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:59.57,2025-05-09 17:59:05.683,Rare
8,Pop-Eyed Goldfish,https://nookipedia.com/w/images/0/0d/Pop-Eyed_Goldfish_NH_Icon.png,1300,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:59.693,2025-05-09 17:59:05.786,Rare
9,Ranchu Goldfish,https://nookipedia.com/w/images/3/35/Ranchu_Goldfish_NH_Icon.png,4500,"[9,10,11,12,13,14,15,16]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:59.809,2025-05-09 17:59:05.892,Rare
10,Killifish,https://nookipedia.com/w/images/e/ea/Killifish_NH_Icon.png,300,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[4,5,6,7,8]",2025-05-09 17:48:59.91,2025-05-09 17:59:05.996,Uncommon
11,Crawfish,https://nookipedia.com/w/images/9/96/Crawfish_NH_Icon.png,200,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[4,5,6,7,8,9]",2025-05-09 17:49:00.014,2025-05-09 17:59:06.11,Common
12,Soft-Shelled Turtle,https://nookipedia.com/w/images/e/eb/Soft-Shelled_Turtle_NH_Icon.png,3750,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[8,9]",2025-05-09 17:49:00.118,2025-05-09 17:59:06.218,Uncommon
13,Snapping Turtle,https://nookipedia.com/w/images/b/b1/Snapping_Turtle_NH_Icon.png,5000,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[4,5,6,7,8,9,10]",2025-05-09 17:49:00.225,2025-05-09 17:59:06.321,Rare
14,Tadpole,https://nookipedia.com/w/images/b/bb/Tadpole_NH_Icon.png,100,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[3,4,5,6,7]",2025-05-09 17:49:00.333,2025-05-09 17:59:06.424,Uncommon
15,Frog,https://nookipedia.com/w/images/2/2f/Frog_NH_Icon.png,120,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[5,6,7,8]",2025-05-09 17:49:00.438,2025-05-09 17:59:06.527,Common
16,Freshwater Goby,https://nookipedia.com/w/images/e/ec/Freshwater_Goby_NH_Icon.png,400,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:49:00.542,2025-05-09 17:59:06.641,Rare
